technology,dst_region,region,agent,sector,type,year,capacity
resAC,Central,Central,A1,residential,retrofit,2020,4654.00000000000
resAppliancesCon,Central,Central,A1,residential,retrofit,2020,4236.00000000000
resBoilerElectric,Central,Central,A1,residential,retrofit,2020,1337.00000000000
resCookingElec,Central,Central,A1,residential,retrofit,2020,3511.00000000000
resHWaterElec,Central,Central,A1,residential,retrofit,2020,725.00000000000
resLightingCon,Central,Central,A1,residential,retrofit,2020,276.00000000000
resLightingEnergySaving,Central,Central,A1,residential,retrofit,2020,1473.00000000000
resLightingLED,Central,Central,A1,residential,retrofit,2020,3556.00000000000
resAC,Eastern,Eastern,A1,residential,retrofit,2020,4707.00000000000
resAppliancesCon,Eastern,Eastern,A1,residential,retrofit,2020,4284.00000000000
resBoilerElectric,Eastern,Eastern,A1,residential,retrofit,2020,1352.00000000000
resCookingElec,Eastern,Eastern,A1,residential,retrofit,2020,3550.00000000000
resHWaterElec,Eastern,Eastern,A1,residential,retrofit,2020,734.00000000000
resLightingCon,Eastern,Eastern,A1,residential,retrofit,2020,343.00000000000
resLightingEnergySaving,Eastern,Eastern,A1,residential,retrofit,2020,1490.00000000000
resLightingLED,Eastern,Eastern,A1,residential,retrofit,2020,3596.00000000000
resAC,Western,Western,A1,residential,retrofit,2020,4388.00000000000
resAppliancesCon,Western,Western,A1,residential,retrofit,2020,3994.00000000000
resBoilerElectric,Western,Western,A1,residential,retrofit,2020,1261.00000000000
resCookingElec,Western,Western,A1,residential,retrofit,2020,3310.00000000000
resHWaterElec,Western,Western,A1,residential,retrofit,2020,684.00000000000
resLightingCon,Western,Western,A1,residential,retrofit,2020,261.00000000000
resLightingEnergySaving,Western,Western,A1,residential,retrofit,2020,1389.00000000000
resLightingLED,Western,Western,A1,residential,retrofit,2020,3352.00000000000
resAC,Northwest,Northwest,A1,residential,retrofit,2020,889.00000000000
resAppliancesCon,Northwest,Northwest,A1,residential,retrofit,2020,873.00000000000
resBoilerElectric,Northwest,Northwest,A1,residential,retrofit,2020,281.00000000000
resCookingElec,Northwest,Northwest,A1,residential,retrofit,2020,679.00000000000
resHWaterElec,Northwest,Northwest,A1,residential,retrofit,2020,270.00000000000
resLightingCon,Northwest,Northwest,A1,residential,retrofit,2020,256.00000000000
resLightingEnergySaving,Northwest,Northwest,A1,residential,retrofit,2020,671.00000000000
resLightingLED,Northwest,Northwest,A1,residential,retrofit,2020,809.00000000000
resAC,North,North,A1,residential,retrofit,2020,873.00000000000
resAppliancesCon,North,North,A1,residential,retrofit,2020,830.00000000000
resBoilerElectric,North,North,A1,residential,retrofit,2020,270.00000000000
resCookingElec,North,North,A1,residential,retrofit,2020,634.00000000000
resHWaterElec,North,North,A1,residential,retrofit,2020,263.00000000000
resLightingCon,North,North,A1,residential,retrofit,2020,239.00000000000
resLightingEnergySaving,North,North,A1,residential,retrofit,2020,626.00000000000
resLightingLED,North,North,A1,residential,retrofit,2020,756.00000000000
resAC,Northeast,Northeast,A1,residential,retrofit,2020,1855.00000000000
resAppliancesCon,Northeast,Northeast,A1,residential,retrofit,2020,1689.00000000000
resBoilerElectric,Northeast,Northeast,A1,residential,retrofit,2020,587.00000000000
resCookingElec,Northeast,Northeast,A1,residential,retrofit,2020,1399.00000000000
resHWaterElec,Northeast,Northeast,A1,residential,retrofit,2020,533.00000000000
resLightingCon,Northeast,Northeast,A1,residential,retrofit,2020,289.00000000000
resLightingEnergySaving,Northeast,Northeast,A1,residential,retrofit,2020,873.00000000000
resLightingLED,Northeast,Northeast,A1,residential,retrofit,2020,1417.00000000000
resAC,BajaCalif,BajaCalif,A1,residential,retrofit,2020,873.00000000000
resAppliancesCon,BajaCalif,BajaCalif,A1,residential,retrofit,2020,561.00000000000
resBoilerElectric,BajaCalif,BajaCalif,A1,residential,retrofit,2020,270.00000000000
resCookingElec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,429.00000000000
resHWaterElec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,178.00000000000
resLightingCon,BajaCalif,BajaCalif,A1,residential,retrofit,2020,161.00000000000
resLightingEnergySaving,BajaCalif,BajaCalif,A1,residential,retrofit,2020,423.00000000000
resLightingLED,BajaCalif,BajaCalif,A1,residential,retrofit,2020,511.00000000000
resAC,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,873.00000000000
resAppliancesCon,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,270.00000000000
resBoilerElectric,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,90.00000000000
resCookingElec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,108.00000000000
resHWaterElec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,38.00000000000
resLightingCon,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,34.00000000000
