asset,year,region,installed,technology,capacity
0,2030,BajaCalif,2020,gassupply1,12042.33320000000
0,2035,BajaCalif,2020,gassupply1,12042.33320000000
0,2040,BajaCalif,2020,gassupply1,12042.33320000000
0,2045,BajaCalif,2020,gassupply1,12042.33320000000
0,2050,BajaCalif,2020,gassupply1,12042.33320000000
0,2059,BajaCalif,2020,gassupply1,2042.33320000000
1,2030,BajaCalif,2025,gassupply1,1534.03230000000
1,2035,BajaCalif,2025,gassupply1,1534.03230000000
1,2040,BajaCalif,2025,gassupply1,1534.03230000000
1,2045,BajaCalif,2025,gassupply1,1534.03230000000
1,2050,BajaCalif,2025,gassupply1,1534.03230000000
1,2059,BajaCalif,2025,gassupply1,1534.03230000000
1,2060,BajaCalif,2025,gassupply1,1534.03230000000
1,2064,BajaCalif,2025,gassupply1,1534.03230000000
2,2035,BajaCalif,2030,gassupply1,2274.61090000000
2,2040,BajaCalif,2030,gassupply1,2274.61090000000
2,2045,BajaCalif,2030,gassupply1,2274.61090000000
2,2050,BajaCalif,2030,gassupply1,2274.61090000000
2,2059,BajaCalif,2030,gassupply1,2274.61090000000
2,2060,BajaCalif,2030,gassupply1,2274.61090000000
2,2064,BajaCalif,2030,gassupply1,2274.61090000000
2,2065,BajaCalif,2030,gassupply1,2274.61090000000
2,2069,BajaCalif,2030,gassupply1,2274.61090000000
3,2030,BajaCalifSouth,2020,gassupply1,12042.33320000000
3,2035,BajaCalifSouth,2020,gassupply1,12042.33320000000
3,2040,BajaCalifSouth,2020,gassupply1,12042.33320000000
3,2045,BajaCalifSouth,2020,gassupply1,12042.33320000000
3,2050,BajaCalifSouth,2020,gassupply1,12042.33320000000
3,2059,BajaCalifSouth,2020,gassupply1,2042.33320000000
4,2030,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2035,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2040,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2045,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2050,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2059,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2060,BajaCalifSouth,2025,gassupply1,1534.03230000000
4,2064,BajaCalifSouth,2025,gassupply1,1534.03230000000
5,2035,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2040,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2045,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2050,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2059,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2060,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2064,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2065,BajaCalifSouth,2030,gassupply1,2274.61090000000
5,2069,BajaCalifSouth,2030,gassupply1,2274.61090000000
6,2030,Central,2020,gassupply1,12042.33320000000
6,2035,Central,2020,gassupply1,12042.33320000000
6,2040,Central,2020,gassupply1,12042.33320000000
6,2045,Central,2020,gassupply1,12042.33320000000
6,2050,Central,2020,gassupply1,12042.33320000000
6,2059,Central,2020,gassupply1,2042.33320000000
7,2030,Central,2025,gassupply1,1534.03230000000
7,2035,Central,2025,gassupply1,1534.03230000000
7,2040,Central,2025,gassupply1,1534.03230000000
7,2045,Central,2025,gassupply1,1534.03230000000
7,2050,Central,2025,gassupply1,1534.03230000000
7,2059,Central,2025,gassupply1,1534.03230000000
7,2060,Central,2025,gassupply1,1534.03230000000
